symbol,name,code,source_ref,tags,cohort,issuer,underlying_index,description,ibkr_symbol
KSA,iShares MSCI Saudi Arabia ETF,EQ.BROAD,fund_mandate,intl_em,etf_country_em,iShares (BlackRock),MSCI Saudi Arabia IMI 25/50,iShares MSCI Saudi Arabia ETF,
EPHE,iShares MSCI Philippines ETF,EQ.BROAD,fund_mandate,intl_em,etf_country_em,iShares (BlackRock),MSCI Philippines IMI 25/50,iShares MSCI Philippines ETF,
EWM,iShares MSCI Malaysia ETF,EQ.BROAD,fund_mandate,intl_em,etf_country_em,iShares (BlackRock),MSCI Malaysia,iShares MSCI Malaysia ETF,
ARGT,Global X MSCI Argentina ETF,EQ.BROAD,fund_mandate,intl_em,etf_country_em,Global X,MSCI All Argentina 25/50,Global X MSCI Argentina ETF,
VNM,VanEck Vietnam ETF,EQ.BROAD,fund_mandate,intl_em,etf_country_em,VanEck,MarketVector Vietnam Local Index,VanEck Vietnam ETF,
USO,United States Oil Fund,CMD.ENERGY,fund_mandate,commodity_energy_crude,etf_commodity,USCF,WTI crude oil front-month futures,United States Oil Fund,
USL,United States 12 Month Oil Fund,CMD.ENERGY,fund_mandate,commodity_energy_crude,etf_commodity,USCF,"WTI crude oil futures, 12 consecutive months",United States 12 Month Oil Fund,
UNG,United States Natural Gas Fund,CMD.ENERGY,fund_mandate,commodity_energy,etf_commodity,USCF,Henry Hub natural gas front-month futures,United States Natural Gas Fund,
UNL,United States 12 Month Natural Gas Fund,CMD.ENERGY,fund_mandate,commodity_energy,etf_commodity,USCF,"Henry Hub natural gas futures, 12 consecutive months",United States 12 Month Natural Gas Fund,
CPER,United States Copper Index Fund,CMD.INDMET,fund_mandate,commodity_metals_industrial,etf_commodity,USCF,SummerHaven Copper Index Total Return,United States Copper Index Fund,
PALL,abrdn Physical Palladium Shares ETF,CMD.PREC,fund_mandate,commodity_metals_precious,etf_commodity,abrdn,Physical palladium (LBMA price),abrdn Physical Palladium Shares ETF,
CORN,Teucrium Corn Fund,CMD.AG,fund_mandate,commodity_agri,etf_commodity,Teucrium,"CBOT corn futures (weighted second, third and December-following contracts)",Teucrium Corn Fund,
WEAT,Teucrium Wheat Fund,CMD.AG,fund_mandate,commodity_agri,etf_commodity,Teucrium,"CBOT wheat futures (weighted second, third and December-following contracts)",Teucrium Wheat Fund,
SOYB,Teucrium Soybean Fund,CMD.AG,fund_mandate,commodity_agri,etf_commodity,Teucrium,"CBOT soybean futures (weighted second, third and November-following contracts)",Teucrium Soybean Fund,
GSG,iShares S&P GSCI Commodity-Indexed Trust,CMD.BROAD,fund_mandate,commodity_broad,etf_commodity,iShares (BlackRock),S&P GSCI Total Return Index,iShares S&P GSCI Commodity-Indexed Trust,
MBB,iShares MBS ETF,FI.SECURITIZED,fund_mandate,fi_mbs,etf_fixed_income,iShares (BlackRock),ICE US Mortgage Backed Securities Index,iShares MBS ETF,
BKLN,Invesco Senior Loan ETF,FI.CREDIT.LOANS,fund_mandate,fi_credit_hy;fi_short_duration,etf_fixed_income,Invesco,Morningstar LSTA US Leveraged Loan 100 Index,Invesco Senior Loan ETF,
ANGL,VanEck Fallen Angel High Yield Bond ETF,FI.CREDIT.HY,fund_mandate,fi_credit_hy,etf_fixed_income,VanEck,ICE US Fallen Angel High Yield 10% Constrained Index,VanEck Fallen Angel High Yield Bond ETF,
SJNK,SPDR Bloomberg Short Term High Yield Bond ETF,FI.CREDIT.HY,fund_mandate,fi_credit_hy;fi_short_duration,etf_fixed_income,State Street,Bloomberg US High Yield 350mn Cash Pay 0-5 Yr 2% Capped Index,SPDR Bloomberg Short Term High Yield Bond ETF,
VCLT,Vanguard Long-Term Corporate Bond ETF,FI.CREDIT.IG,fund_mandate,fi_credit_ig,etf_fixed_income,Vanguard,Bloomberg US 10+ Year Corporate Bond Index,Vanguard Long-Term Corporate Bond ETF,
BNDX,Vanguard Total International Bond ETF,FI.INTL,fund_mandate,fi_intl,etf_fixed_income,Vanguard,Bloomberg Global Aggregate ex-USD Float Adjusted RIC Capped Index (USD Hedged),Vanguard Total International Bond ETF,
BWX,SPDR Bloomberg International Treasury Bond ETF,FI.INTL,fund_mandate,fi_intl,etf_fixed_income,State Street,Bloomberg Global Treasury ex-US Capped Index,SPDR Bloomberg International Treasury Bond ETF,
