symbol,name,code,source_ref,tags,cohort,issuer,underlying_index,description,ibkr_symbol
EWN,iShares MSCI Netherlands ETF,EQ.BROAD,fund_mandate,intl_developed,etf_country,iShares (BlackRock),MSCI Netherlands (iShares capped variant),iShares MSCI Netherlands ETF,
EWW,iShares MSCI Mexico ETF,EQ.BROAD,fund_mandate,intl_em,etf_country,iShares (BlackRock),MSCI Mexico (iShares capped variant),iShares MSCI Mexico ETF,
SHV,iShares 0-1 Year Treasury Bond ETF,FI.RATES,fund_mandate,fi_treasury;fi_short_duration,etf_treasury,iShares (BlackRock),ICE 0-1 Year US Treasury Securities Index,iShares 0-1 Year Treasury Bond ETF,
IEI,iShares 3-7 Year Treasury Bond ETF,FI.RATES,fund_mandate,fi_treasury,etf_treasury,iShares (BlackRock),ICE US Treasury 3-7 Year Index,iShares 3-7 Year Treasury Bond ETF,
TLH,iShares 10-20 Year Treasury Bond ETF,FI.RATES,fund_mandate,fi_treasury,etf_treasury,iShares (BlackRock),ICE US Treasury 10-20 Year Index,iShares 10-20 Year Treasury Bond ETF,
ALK,Alaska Air Group Inc,EQ.IND.TRANSPORT.AIRLINES,ibkr_contract_details+review,single_name_equity;transports,dow_transports,,,,
LUV,Southwest Airlines Co,EQ.IND.TRANSPORT.AIRLINES,ibkr_contract_details+review,single_name_equity;transports,dow_transports,,,,
UAL,United Airlines Holdings Inc,EQ.IND.TRANSPORT.AIRLINES,ibkr_contract_details+review,single_name_equity;transports,dow_transports,,,,
CAR,Avis Budget Group Inc,EQ.IND.TRANSPORT.GROUND,ibkr_contract_details+review,single_name_equity;transports,dow_transports,,,,
CHRW,C.H. Robinson Worldwide Inc,EQ.IND.TRANSPORT.AIRFREIGHT,ibkr_contract_details+review,single_name_equity;transports,dow_transports,,,,
EXPD,Expeditors International of Washington Inc,EQ.IND.TRANSPORT.AIRFREIGHT,ibkr_contract_details+review,single_name_equity;transports,dow_transports,,,,
LSTR,Landstar System Inc,EQ.IND.TRANSPORT.GROUND,ibkr_contract_details+review,single_name_equity;transports,dow_transports,,,,
MATX,Matson Inc,EQ.IND.TRANSPORT.MARINE,ibkr_contract_details+review,single_name_equity;transports,dow_transports,,,,
NSC,Norfolk Southern Corp,EQ.IND.TRANSPORT.GROUND,ibkr_contract_details+review,single_name_equity;transports,dow_transports,,,,
ATO,Atmos Energy Corp,EQ.UTL.UTILITIES.GAS,ibkr_contract_details+review,single_name_equity;rate_sensitive;defensive_yield,dow_utilities,,,,
ED,Consolidated Edison Inc,EQ.UTL.UTILITIES.ELECTRIC,ibkr_contract_details+review,single_name_equity;rate_sensitive;defensive_yield,dow_utilities,,,,
D,Dominion Energy Inc,EQ.UTL.UTILITIES.ELECTRIC,ibkr_contract_details+review,single_name_equity;rate_sensitive;defensive_yield,dow_utilities,,,,
EIX,Edison International,EQ.UTL.UTILITIES.ELECTRIC,ibkr_contract_details+review,single_name_equity;rate_sensitive;defensive_yield,dow_utilities,,,,
EXC,Exelon Corp,EQ.UTL.UTILITIES.ELECTRIC,ibkr_contract_details+review,single_name_equity;rate_sensitive;defensive_yield,dow_utilities,,,,
FE,FirstEnergy Corp,EQ.UTL.UTILITIES.ELECTRIC,ibkr_contract_details+review,single_name_equity;rate_sensitive;defensive_yield,dow_utilities,,,,
PEG,Public Service Enterprise Group Inc,EQ.UTL.UTILITIES.ELECTRIC,ibkr_contract_details+review,single_name_equity;rate_sensitive;defensive_yield,dow_utilities,,,,
SRE,Sempra,EQ.UTL.UTILITIES.ELECTRIC,ibkr_contract_details+review,single_name_equity;rate_sensitive;defensive_yield,dow_utilities,,,,
XEL,Xcel Energy Inc,EQ.UTL.UTILITIES.ELECTRIC,ibkr_contract_details+review,single_name_equity;rate_sensitive;defensive_yield,dow_utilities,,,,
AMGN,Amgen Inc,EQ.HC.PHARMA.BIOTECH,ibkr_contract_details+review,single_name_equity,dow_industrials,,,,
CSCO,Cisco Systems Inc,EQ.IT.HARDWARE.COMMEQUIP,ibkr_contract_details+review,single_name_equity,dow_industrials,,,,
IBM,International Business Machines Corp,EQ.IT.SOFTWARE.ITSVC,ibkr_contract_details+review,single_name_equity,dow_industrials,,,,
NKE,Nike Inc,EQ.CD.DURABLES.TEXTILES,ibkr_contract_details+review,single_name_equity,dow_industrials,,,,
A,Agilent Technologies Inc,EQ.HC.PHARMA.LIFESCI,ibkr_contract_details+review,single_name_equity,spx,,,,
ABBV,Abbvie Inc,EQ.HC.PHARMA.PHARMA,ibkr_contract_details+review,single_name_equity,spx,,,,
ABNB,Airbnb Inc-Class A,EQ.CD.SERVICES.HOTELS,ibkr_contract_details+review,single_name_equity,spx,,,,
ABT,Abbott Laboratories .,EQ.HC.EQUIPSVC.EQUIPMENT,ibkr_contract_details+review,single_name_equity,spx,,,,
ACGL,Arch Capital Group Ltd,EQ.FIN.INSURANCE.INSURANCE,ibkr_contract_details+review,single_name_equity,spx,,,,
ACN,Accenture Plc-Cl A,EQ.IT.SOFTWARE.ITSVC,ibkr_contract_details+review,single_name_equity,spx,,,,
ADBE,Adobe Inc,EQ.IT.SOFTWARE.SOFTWARE,ibkr_contract_details+review,single_name_equity,spx,,,,
ADI,Analog Devices Inc,EQ.IT.SEMI.EQUIP,ibkr_contract_details+review,single_name_equity,spx,,,,
ADP,Automatic Data Processing,EQ.IND.COMMSVC.PROFESSIONAL,ibkr_contract_details+review,single_name_equity,spx,,,,
ADSK,Autodesk Inc,EQ.IT.SOFTWARE.SOFTWARE,ibkr_contract_details+review,single_name_equity,spx,,,,
AEE,Ameren Corp,EQ.UTL.UTILITIES.ELECTRIC,ibkr_contract_details+review,single_name_equity,spx,,,,
AES,Aes Corp,EQ.UTL.UTILITIES.IPP,ibkr_contract_details+review,single_name_equity,spx,,,,
AFL,Aflac Inc,EQ.FIN.INSURANCE.INSURANCE,ibkr_contract_details+review,single_name_equity,spx,,,,
AIG,American International Group,EQ.FIN.INSURANCE.INSURANCE,ibkr_contract_details+review,single_name_equity,spx,,,,
AIZ,Assurant Inc,EQ.FIN.INSURANCE.INSURANCE,ibkr_contract_details+review,single_name_equity,spx,,,,
AJG,Arthur J Gallagher & Co,EQ.FIN.INSURANCE.INSURANCE,ibkr_contract_details+review,single_name_equity,spx,,,,
AKAM,Akamai Technologies Inc,EQ.IT.SOFTWARE.ITSVC,ibkr_contract_details+review,single_name_equity,spx,,,,
ALB,Albemarle Corp,EQ.MAT.MATERIALS.CHEMICALS,ibkr_contract_details+review,single_name_equity,spx,,,,
ALGN,Align Technology Inc,EQ.HC.EQUIPSVC.EQUIPMENT,ibkr_contract_details+review,single_name_equity,spx,,,,
ALL,Allstate Corp,EQ.FIN.INSURANCE.INSURANCE,ibkr_contract_details+review,single_name_equity,spx,,,,
ALLE,Allegion Plc,EQ.IND.CAPGOODS.BUILDING,ibkr_contract_details+review,single_name_equity,spx,,,,
AMAT,Applied Materials Inc,EQ.IT.SEMI.EQUIP,ibkr_contract_details+review,single_name_equity,spx,,,,
AMCR,Amcor Plc,EQ.MAT.MATERIALS.CONTAINERS,ibkr_contract_details+review,single_name_equity,spx,,,,
AME,Ametek Inc,EQ.IND.CAPGOODS.ELECTRICAL,ibkr_contract_details+review,single_name_equity,spx,,,,
AMP,Ameriprise Financial Inc,EQ.FIN.FINSVC.CAPMKTS,ibkr_contract_details+review,single_name_equity,spx,,,,
ANET,Arista Networks Inc,EQ.IT.HARDWARE.COMMEQUIP,ibkr_contract_details+review,single_name_equity,spx,,,,
AON,Aon Plc-Class A,EQ.FIN.INSURANCE.INSURANCE,ibkr_contract_details+review,single_name_equity,spx,,,,
AOS,Smith (A.O.) Corp,EQ.IND.CAPGOODS.MACHINERY,ibkr_contract_details+review,single_name_equity,spx,,,,
APA,Apa Corp,EQ.EN.ENERGY.OILGAS,ibkr_contract_details+review,single_name_equity,spx,,,,
APD,Air Products & Chemicals Inc,EQ.MAT.MATERIALS.CHEMICALS,ibkr_contract_details+review,single_name_equity,spx,,,,
APH,Amphenol Corp-Cl A,EQ.IT.HARDWARE.ELECEQUIP,ibkr_contract_details+review,single_name_equity,spx,,,,
APO,Apollo Global Management Inc,EQ.FIN.FINSVC.CAPMKTS,ibkr_contract_details+review,single_name_equity,spx,,,,
APP,Applovin Corp-Class A,EQ.COM.MEDIA.INTERACTIVE,ibkr_contract_details+review,single_name_equity,spx,,,,
APTV,Aptiv Plc,EQ.CD.AUTO.COMPONENTS,ibkr_contract_details+review,single_name_equity,spx,,,,
ARE,Alexandria Real Estate Equit,EQ.RE.REITS.HEALTHCARE,ibkr_contract_details+review,single_name_equity,spx,,,,
ARES,Ares Management Corp - A,EQ.FIN.FINSVC.CAPMKTS,ibkr_contract_details+review,single_name_equity,spx,,,,
AVY,Avery Dennison Corp,EQ.MAT.MATERIALS.CONTAINERS,ibkr_contract_details+review,single_name_equity,spx,,,,
AXON,Axon Enterprise Inc,EQ.IND.CAPGOODS.AEROSPACE,ibkr_contract_details+review,single_name_equity,spx,,,,
AZO,Autozone Inc,EQ.CD.RETAIL.SPECIALTY,ibkr_contract_details+review,single_name_equity,spx,,,,
BALL,Ball Corp,EQ.MAT.MATERIALS.CONTAINERS,ibkr_contract_details+review,single_name_equity,spx,,,,
BAX,Baxter International Inc.,EQ.HC.EQUIPSVC.EQUIPMENT,ibkr_contract_details+review,single_name_equity,spx,,,,
BBY,Best Buy Co Inc,EQ.CD.RETAIL.SPECIALTY,ibkr_contract_details+review,single_name_equity,spx,,,,
BDX,Becton Dickinson And Co,EQ.HC.EQUIPSVC.EQUIPMENT,ibkr_contract_details+review,single_name_equity,spx,,,,
BE,Bloom Energy Corp- A,EQ.IND.CAPGOODS.ELECTRICAL,ibkr_contract_details+review,single_name_equity,spx,,,,
BEN,Franklin Templeton Inc,EQ.FIN.FINSVC.CAPMKTS,ibkr_contract_details+review,single_name_equity,spx,,,,
BF.B,Brown-Forman Corp-Class B,EQ.CS.FOOD.BEVERAGES,ibkr_contract_details+review,single_name_equity,spx,,,,BF B
BG,Bunge Global Sa,EQ.CS.FOOD.FOOD,ibkr_contract_details+review,single_name_equity,spx,,,,
BIIB,Biogen Inc,EQ.HC.PHARMA.BIOTECH,ibkr_contract_details+review,single_name_equity,spx,,,,
BKR,Baker Hughes Co,EQ.EN.ENERGY.EQUIPSVC,ibkr_contract_details+review,single_name_equity,spx,,,,
BMY,Bristol-Myers Squibb Co,EQ.HC.PHARMA.PHARMA,ibkr_contract_details+review,single_name_equity,spx,,,,
BNY,Bank Of New York Mellon Corp,EQ.FIN.FINSVC.CAPMKTS,ibkr_contract_details+review,single_name_equity,spx,,,,
BR,Broadridge Financial Solutio,EQ.IND.COMMSVC.PROFESSIONAL,ibkr_contract_details+review,single_name_equity,spx,,,,
BRK.B,Berkshire Hathaway Inc-Cl B,EQ.FIN.FINSVC.FINSVC,ibkr_contract_details+review,single_name_equity,spx,,,,BRK B
BRO,Brown & Brown Inc,EQ.FIN.INSURANCE.INSURANCE,ibkr_contract_details+review,single_name_equity,spx,,,,
BSX,Boston Scientific Corp,EQ.HC.EQUIPSVC.EQUIPMENT,ibkr_contract_details+review,single_name_equity,spx,,,,
BX,Blackstone Inc,EQ.FIN.FINSVC.CAPMKTS,ibkr_contract_details+review,single_name_equity,spx,,,,
BXP,Bxp Inc,EQ.RE.REITS.OFFICE,ibkr_contract_details+review,single_name_equity,spx,,,,
C,Citigroup Inc,EQ.FIN.BANKS.BANKS,ibkr_contract_details+review,single_name_equity,spx,,,,
CAH,Cardinal Health Inc,EQ.HC.EQUIPSVC.PROVIDERS,ibkr_contract_details+review,single_name_equity,spx,,,,
CARR,Carrier Global Corp,EQ.IND.CAPGOODS.BUILDING,ibkr_contract_details+review,single_name_equity,spx,,,,
CB,Chubb Ltd,EQ.FIN.INSURANCE.INSURANCE,ibkr_contract_details+review,single_name_equity,spx,,,,
CBOE,Cboe Global Markets Inc,EQ.FIN.FINSVC.CAPMKTS,ibkr_contract_details+review,single_name_equity,spx,,,,
CBRE,Cbre Group Inc - A,EQ.RE.MGMT.MGMTDEV,ibkr_contract_details+review,single_name_equity,spx,,,,
CCI,Crown Castle Inc,EQ.RE.REITS.SPECIALIZED,ibkr_contract_details+review,single_name_equity,spx,,,,
CCL,Carnival Corp Ltd,EQ.CD.SERVICES.HOTELS,ibkr_contract_details+review,single_name_equity,spx,,,,
CDNS,Cadence Design Sys Inc,EQ.IT.SOFTWARE.SOFTWARE,ibkr_contract_details+review,single_name_equity,spx,,,,
CDW,Cdw Corp/De,EQ.IT.HARDWARE.ELECEQUIP,ibkr_contract_details+review,single_name_equity,spx,,,,
CEG,Constellation Energy,EQ.UTL.UTILITIES.IPP,ibkr_contract_details+review,single_name_equity,spx,,,,
CF,Cf Industries Holdings Inc,EQ.MAT.MATERIALS.CHEMICALS,ibkr_contract_details+review,single_name_equity,spx,,,,
CFG,Citizens Financial Group,EQ.FIN.BANKS.BANKS,ibkr_contract_details+review,single_name_equity,spx,,,,
CHD,Church & Dwight Co Inc,EQ.CS.HOUSEHOLD.HOUSEHOLD,ibkr_contract_details+review,single_name_equity,spx,,,,
CHTR,Charter Communications Inc-A,EQ.COM.MEDIA.MEDIA,ibkr_contract_details+review,single_name_equity,spx,,,,
CI,The Cigna Group,EQ.HC.EQUIPSVC.PROVIDERS,ibkr_contract_details+review,single_name_equity,spx,,,,
CIEN,Ciena Corp,EQ.IT.HARDWARE.COMMEQUIP,ibkr_contract_details+review,single_name_equity,spx,,,,
CINF,Cincinnati Financial Corp,EQ.FIN.INSURANCE.INSURANCE,ibkr_contract_details+review,single_name_equity,spx,,,,
CLX,Clorox Company,EQ.CS.HOUSEHOLD.HOUSEHOLD,ibkr_contract_details+review,single_name_equity,spx,,,,
CME,Cme Group Inc,EQ.FIN.FINSVC.CAPMKTS,ibkr_contract_details+review,single_name_equity,spx,,,,
CMG,Chipotle Mexican Grill Inc,EQ.CD.SERVICES.HOTELS,ibkr_contract_details+review,single_name_equity,spx,,,,
CMI,Cummins Inc,EQ.IND.CAPGOODS.MACHINERY,ibkr_contract_details+review,single_name_equity,spx,,,,
CMS,Cms Energy Corp,EQ.UTL.UTILITIES.ELECTRIC,ibkr_contract_details+review,single_name_equity,spx,,,,
CNC,Centene Corp,EQ.HC.EQUIPSVC.PROVIDERS,ibkr_contract_details+review,single_name_equity,spx,,,,
CNP,Centerpoint Energy Inc,EQ.UTL.UTILITIES.ELECTRIC,ibkr_contract_details+review,single_name_equity,spx,,,,
COF,Capital One Financial Corp,EQ.FIN.FINSVC.CONSUMER,ibkr_contract_details+review,single_name_equity,spx,,,,
COHR,Coherent Corp,EQ.IT.HARDWARE.ELECEQUIP,ibkr_contract_details+review,single_name_equity,spx,,,,
COO,Cooper Cos Inc/The,EQ.HC.EQUIPSVC.EQUIPMENT,ibkr_contract_details+review,single_name_equity,spx,,,,
COR,Cencora Inc,EQ.HC.EQUIPSVC.PROVIDERS,ibkr_contract_details+review,single_name_equity,spx,,,,
CPAY,Corpay Inc,EQ.FIN.FINSVC.FINSVC,ibkr_contract_details+review,single_name_equity,spx,,,,
CPRT,Copart Inc,EQ.IND.COMMSVC.COMMERCIAL,ibkr_contract_details+review,single_name_equity,spx,,,,
CPT,Camden Property Trust,EQ.RE.REITS.RESIDENTIAL,ibkr_contract_details+review,single_name_equity,spx,,,,
CRH,Crh Plc,EQ.MAT.MATERIALS.CONSTRUCTION,ibkr_contract_details+review,single_name_equity,spx,,,,
CRL,Charles River Laboratories,EQ.HC.PHARMA.LIFESCI,ibkr_contract_details+review,single_name_equity,spx,,,,
CSGP,Costar Group Inc,EQ.RE.MGMT.MGMTDEV,ibkr_contract_details+review,single_name_equity,spx,,,,
CTAS,Cintas Corp,EQ.IND.COMMSVC.COMMERCIAL,ibkr_contract_details+review,single_name_equity,spx,,,,
CTSH,Cognizant Tech Solutions-A,EQ.IT.SOFTWARE.ITSVC,ibkr_contract_details+review,single_name_equity,spx,,,,
CVNA,Carvana Co,EQ.CD.RETAIL.SPECIALTY,ibkr_contract_details+review,single_name_equity,spx,,,,
DASH,Doordash Inc - A,EQ.CD.SERVICES.HOTELS,ibkr_contract_details+review,single_name_equity,spx,,,,
DDOG,Datadog Inc - Class A,EQ.IT.SOFTWARE.SOFTWARE,ibkr_contract_details+review,single_name_equity,spx,,,,
DECK,Deckers Outdoor Corp,EQ.CD.DURABLES.TEXTILES,ibkr_contract_details+review,single_name_equity,spx,,,,
DELL,Dell Technologies -C,EQ.IT.HARDWARE.TECHHW,ibkr_contract_details+review,single_name_equity,spx,,,,
DG,Dollar General Corp,EQ.CS.RETAIL.RETAIL,ibkr_contract_details+review,single_name_equity,spx,,,,
DGX,Quest Diagnostics Inc,EQ.HC.EQUIPSVC.PROVIDERS,ibkr_contract_details+review,single_name_equity,spx,,,,
DHR,Danaher Corp,EQ.HC.PHARMA.LIFESCI,ibkr_contract_details+review,single_name_equity,spx,,,,
DLR,Digital Realty Trust Inc.,EQ.RE.REITS.SPECIALIZED,ibkr_contract_details+review,single_name_equity,spx,,,,
DLTR,Dollar Tree Inc,EQ.CS.RETAIL.RETAIL,ibkr_contract_details+review,single_name_equity,spx,,,,
DOC,Healthpeak Properties Inc,EQ.RE.REITS.HEALTHCARE,ibkr_contract_details+review,single_name_equity,spx,,,,
DOV,Dover Corp,EQ.IND.CAPGOODS.MACHINERY,ibkr_contract_details+review,single_name_equity,spx,,,,
DPZ,Domino'S Pizza Inc,EQ.CD.SERVICES.HOTELS,ibkr_contract_details+review,single_name_equity,spx,,,,
DRI,Darden Restaurants Inc,EQ.CD.SERVICES.HOTELS,ibkr_contract_details+review,single_name_equity,spx,,,,
DTE,Dte Energy Company,EQ.UTL.UTILITIES.ELECTRIC,ibkr_contract_details+review,single_name_equity,spx,,,,
DVA,Davita Inc,EQ.HC.EQUIPSVC.PROVIDERS,ibkr_contract_details+review,single_name_equity,spx,,,,
DVN,Devon Energy Corp,EQ.EN.ENERGY.OILGAS,ibkr_contract_details+review,single_name_equity,spx,,,,
DXCM,Dexcom Inc,EQ.HC.EQUIPSVC.EQUIPMENT,ibkr_contract_details+review,single_name_equity,spx,,,,
EBAY,Ebay Inc,EQ.CD.RETAIL.BROADLINE,ibkr_contract_details+review,single_name_equity,spx,,,,
ECHO,Echostar Corp-A,EQ.COM.MEDIA.MEDIA,ibkr_contract_details+review,single_name_equity,spx,,,,
EFX,Equifax Inc,EQ.IND.COMMSVC.PROFESSIONAL,ibkr_contract_details+review,single_name_equity,spx,,,,
EG,Everest Group Ltd,EQ.FIN.INSURANCE.INSURANCE,ibkr_contract_details+review,single_name_equity,spx,,,,
EL,Estee Lauder Companies-Cl A,EQ.CS.HOUSEHOLD.PERSONAL,ibkr_contract_details+review,single_name_equity,spx,,,,
EME,Emcor Group Inc,EQ.IND.CAPGOODS.CONSTRUCTION,ibkr_contract_details+review,single_name_equity,spx,,,,
EOG,Eog Resources Inc,EQ.EN.ENERGY.OILGAS,ibkr_contract_details+review,single_name_equity,spx,,,,
EQT,Eqt Corp,EQ.EN.ENERGY.OILGAS,ibkr_contract_details+review,single_name_equity,spx,,,,
ERIE,Erie Indemnity Company-Cl A,EQ.FIN.INSURANCE.INSURANCE,ibkr_contract_details+review,single_name_equity,spx,,,,
ESS,Essex Property Trust Inc,EQ.RE.REITS.RESIDENTIAL,ibkr_contract_details+review,single_name_equity,spx,,,,
ETN,Eaton Corp Plc,EQ.IND.CAPGOODS.ELECTRICAL,ibkr_contract_details+review,single_name_equity,spx,,,,
EVRG,Evergy Inc,EQ.UTL.UTILITIES.ELECTRIC,ibkr_contract_details+review,single_name_equity,spx,,,,
EW,Edwards Lifesciences Corp,EQ.HC.EQUIPSVC.EQUIPMENT,ibkr_contract_details+review,single_name_equity,spx,,,,
EXE,Expand Energy Corp,EQ.EN.ENERGY.OILGAS,ibkr_contract_details+review,single_name_equity,spx,,,,
EXPE,Expedia Group Inc,EQ.CD.SERVICES.HOTELS,ibkr_contract_details+review,single_name_equity,spx,,,,
EXR,Extra Space Storage Inc,EQ.RE.REITS.SPECIALIZED,ibkr_contract_details+review,single_name_equity,spx,,,,
FANG,Diamondback Energy Inc,EQ.EN.ENERGY.OILGAS,ibkr_contract_details+review,single_name_equity,spx,,,,
FAST,Fastenal Co,EQ.IND.CAPGOODS.TRADING,ibkr_contract_details+review,single_name_equity,spx,,,,
FDS,Factset Research Systems Inc,EQ.FIN.FINSVC.CAPMKTS,ibkr_contract_details+review,single_name_equity,spx,,,,
FERG,Ferguson Enterprises Inc,EQ.IND.CAPGOODS.TRADING,ibkr_contract_details+review,single_name_equity,spx,,,,
FFIV,F5 Inc,EQ.IT.HARDWARE.COMMEQUIP,ibkr_contract_details+review,single_name_equity,spx,,,,
FICO,Fair Isaac Corp,EQ.IT.SOFTWARE.SOFTWARE,ibkr_contract_details+review,single_name_equity,spx,,,,
FIS,Fidelity National Info Serv,EQ.FIN.FINSVC.FINSVC,ibkr_contract_details+review,single_name_equity,spx,,,,
FISV,Fiserv Inc,EQ.FIN.FINSVC.FINSVC,ibkr_contract_details+review,single_name_equity,spx,,,,
FITB,Fifth Third Bancorp,EQ.FIN.BANKS.BANKS,ibkr_contract_details+review,single_name_equity,spx,,,,
FIX,Comfort Systems Usa Inc,EQ.IND.CAPGOODS.CONSTRUCTION,ibkr_contract_details+review,single_name_equity,spx,,,,
FLEX,Flex Ltd,EQ.IT.HARDWARE.ELECEQUIP,ibkr_contract_details+review,single_name_equity,spx,,,,
FOXA,Fox Corp - Class A,EQ.COM.MEDIA.MEDIA,ibkr_contract_details+review,single_name_equity,spx,,,,
FRT,Federal Realty Invs Trust,EQ.RE.REITS.RETAIL,ibkr_contract_details+review,single_name_equity,spx,,,,
FTNT,Fortinet Inc,EQ.IT.SOFTWARE.SOFTWARE,ibkr_contract_details+review,single_name_equity,spx,,,,
FTV,Fortive Corp,EQ.IND.CAPGOODS.MACHINERY,ibkr_contract_details+review,single_name_equity,spx,,,,
GD,General Dynamics Corp,EQ.IND.CAPGOODS.AEROSPACE,ibkr_contract_details+review,single_name_equity,spx,,,,
GDDY,Godaddy Inc - Class A,EQ.IT.SOFTWARE.ITSVC,ibkr_contract_details+review,single_name_equity,spx,,,,
GEHC,Ge Healthcare Technology,EQ.HC.EQUIPSVC.EQUIPMENT,ibkr_contract_details+review,single_name_equity,spx,,,,
